순번,조회수,업무분류,업무분류명,등록일,수정일,제목,FAQ분류
554,10912,20023,전기사용:할인요금,2003-02-14,2018-08-07,1주택수가구 요금을 적용받고 있는데 가구수가 감소하면 어떻게 해야 합니까.,전기요금:전기요금 계산
229,3875,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2019-02-11,고객이 임시공급설비 설치공사비를 부담하여 한전에서 임시공급설비를 시설하였을 경우의 임시공급설비의 유지·보수 책임한계점은 어떻게 됩니까.,전기사용:전기사용신청
535,20176,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"변압기공동이용(모자거래)이란 무엇이며, 요금계산은 어떻게 합니까.",전기사용:전기사용계약
117,4461,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,공장을 새로 짓는데 옆 공장에서 변압기용량이 남는다고 하여 일부를 연결하여 같이 사용할 수 있습니까.,전기사용:전기사용계약
143,27540,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,전기설비중 냉·난방기기가 있는데 계약전력은 어떻게 산정합니까.,전기사용:전기사용신청
150,16099,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,고압으로 전기를 공급받고 있고 계약전력이 300kW인 공장입니다. 한전으로부터 최대수요전력이 높아 증설하라는 안내문을 받았는데 어떻게 조치해야 합니까.,전기사용:전기사용계약
153,6854,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,임시전력 50kW를 신청하여 수전변압기를 설치하였습니다. 저압계량하고 싶은데 가능합니까.,전기사용:전기사용신청
115,6811,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,주택을 헐고 새로 지으려고 하는데 임시전력을 별도로 신청하여 전기를 사용하여야 합니까.,전기사용:전기사용신청
116,2979,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"동일구내에 공장을 증축하려는데 임시전력을 신청하지 않고 기존구좌의 전기를 이용, 건물을 증축할 수 있습니까.",전기사용:전기사용신청
212,5726,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2017-10-11,임시전력은 신규고객과 달리 고객에게 모든 시설부담금을 부담시키면서 왜 별도의 보증금까지 납부하라고 합니까.,전기사용:전기사용신청
217,3797,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2017-10-11,저희 신축건물에 전기사용신청을 하였는데 지중배전지역으로 고시되었다하여 지중배전선로로 전기를 공급받으라고 합니다. 공중전선로로 전기를 공급받을 수 없습니까.,전기사용:전기사용신청
230,7111,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"임시전력 외선공사를 전기사용자가 시공할 경우 그 신청절차를 알려 주시고, 만일 활선공사가 수반될 경우에 활선공사는 한전에서 시공하여 줍니까.",전기사용:전기사용신청
591,4645,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,일반용전기설비와 자가용전기설비의 각각의 대상에 대하여 알려 주세요.,전기사용:전기사용신청
431,5066,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,상가부 공동주택인데 상점 및 주택을 구분하여 별도로 계량기를 달 수 있습니까.,전기사용:전기사용계약
432,8545,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"계약전력 1,500kW 이상인 건물(부동산임대업)에서 건물소유자는 1명이지만 층별로 계량기를 달 수 있습니까.",전기사용:전기사용계약
434,4374,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"다세대주택, 연립주택을 전문으로 건축하는 건설회사입니다. 주택을 준공하였으나 현재 미분양상태인데도 각호별로 계량기를 달 수 있습니까.",전기사용:전기사용신청
316,61961,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"계약전력별 계량기 용량 선정은 어떻게 하며, 계약전력 증설시 계량기를 교환해야 합니까.",전기사용:전기사용신청
189,3742,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,행사장용으로 단 며칠만 임시전력을 사용하고 싶습니다. 계량기를 설치하지 않고 전기요금을 계산할 수 있는 방법이 없습니까.,전기사용:전기사용신청
419,4218,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,현재 옆건물에서 전기를 빌려 사용하고 있는데 가두판매대에도 계량기를 별도로 달아 전기를 사용할 수 있습니까.,전기사용:전기사용신청
421,2306,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,가구제조공장을 등록하고 건물을 임차한 후 건축물관리대장을 열람하니 건축물 용도가 축사로 되어 있습니다. 전기공급이 가능한지요.,전기사용:전기사용신청
427,6095,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,전기사용에 있어 한전과의 수급지점이 있다는데 수급지점에 대하여 자세히 알고 싶습니다.,전기사용:전기사용신청
428,7703,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,주택신축 현장에서 전기를 사용하려는데 이웃집 전기를 연결사용하여도 됩니까.,전기사용:전기사용신청
429,3946,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,엘리베이터가 있는 6층 사무실임대용 빌딩을 신축하였는데 층별로 계량기를 달 수 있습니까.,전기사용:전기사용신청
144,2424,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,수중전동기는 일반전동기와 다른 방법으로 계약전력을 산정한다고 하는데 구체적으로 말씀하여 주십시오.,전기사용:전기사용신청
145,6609,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,신축건물에 고압으로 전기를 공급받고자 변압기를 설치하였는데 변압기용량 표시가 두가지로 표시되어 있습니다. 변압기설비로 계약하고 싶은데 이 경우 계약전력은 어떻게 됩니까.,전기사용:전기사용신청
151,5003,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"계약전력이 40,000kW를 초과하는 대단위 공장을 건립하려고 하는데 154,000V로 전기를 공급받아야 한다고 합니다. 22,900V-y로 공급받을 수 있는 방법은 없습니까.",전기사용:전기사용신청
152,7920,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,1Ø2W 220V를 공급받고 있는 식당에 3Ø에어콘을 설치하고 싶은데 에어컨용 계량기를 별도로 부착할 수 있습니까.,전기사용:전기사용신청
420,1880,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,나대지에 쓰레기처리장을 건립하고자 하는데 처리장내 조그마한 하천이 흐르고 있습니다. 이 경우 1계량으로 전기를 공급받을 수 있습니까.,전기사용:전기사용신청
279,8304,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,"저압, 특별고압이 있다고 하는데 어떻게 구분하는지 말씀하여 주십시오.",전기사용:전기사용신청
518,214400,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,계량기 하나로 여러 집이 전기를 사용하다 보니 세입자들과 전기요금 때문에 분쟁이 있습니다. 각각 한전 계량기를 달아 전기요금 청구서를 가구별로 받으려면 어떻게 하면 됩니까.,전기설비:계량기 관련
146,1552,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,한발시의 양수를 목적으로 관정을 설치하였습니다. 전동기 명판에 3Ø으로 표시되어 있는데 단상으로 공급받을 수 없습니까.,전기사용:전기사용신청
509,19348,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,아파트 전기사용계약 방법에 대하여 알려주세요.,전기사용:전기사용계약
338,9832,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,전기공급약관의 적용구역은 어떻게 됩니까.,전기사용:전기사용계약
147,9060,20100,전기사용:신규업무:공급방법/장소,2003-02-14,2018-08-07,대형음식점인데 냉장고와 에어콘설비 등 전기사용설비용량이 130kW 정도 됩니다. 저압으로 공급받을 수 있습니까.,전기사용:전기사용신청
514,23225,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,전기사용신청이 취소되었는데 다시 신청할 경우 전기사용신청서 및 구비서류를 새로 제출해야 합니까.,전기사용:전기사용신청
102,1931,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,특수사용설비(전기용접기 등)의 전기사용 신청절차에 대해 알려주십시오.,전기사용:전기사용신청
1476,2816,20101,전기사용:신규업무:신청방법,2015-10-22,2018-08-07,태양광 발전을 하려고 하는데 절차가 어떻게 되나요.,전기사용:전기사용신청
220,2326,20101,전기사용:신규업무:신청방법,2003-02-14,2018-08-07,공장을 이전하였는데 전기설비를 옮겨서 계속 사용할 수 있는지요.,전기사용:전기사용계약
